anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2004,PM10,1.0,763.0,208.30416650725027,24.0,39.0,661.0,37.9520017079802,26137
2005,PM10,1.0,683.0,252.49618931323425,36.0,38.0,70.0,39.37805105475436,23749
2006,PM10,1.0,1570.0,164.1359884374498,31.0,31.0,48.0,43.52698892961818,31135
2007,PM10,1.0,1304.0,211.97033123348913,27.0,39.0,53.0,32.55997013772214,24605
2008,PM10,1.0,1319.0,246.13911881358854,33.0,33.0,50.0,37.60606980545543,23196
2009,PM10,1.0,929.0,188.7444405224144,32.0,32.0,72.0,37.61884035186357,28330
2010,PM10,1.0,830.0,409.43201770564366,18.0,37.0,61.0,38.244562716003024,13555
2011,PM10,1.0,1269.0,232.34445434865657,28.0,44.0,56.0,39.88670860379387,23559
2012,PM10,1.0,915.0,364.6637435929105,36.0,62.0,512.0,31.749680577082,16193
