categoria,prom
MATERIAL ESCOLAR,43.31111111111111
ARTS. PARA EL CUIDADO PERSONAL,34.92685185185186
PESCADOS Y MARISCOS EN CONSERVA,12.830000000000002
DETERGENTES Y PRODUCTOS SIMILARES,22.88714285714286
CARNE Y VISCERAS DE RES,66.2
PRODUCTOS DE TEMPORADA (NAVIDEÐOS),52.27625
GALLETAS PASTAS Y HARINAS DE TRIGO,21.02785714285714
HORTALIZAS FRESCAS,16.604347826086954
DERIVADOS DE LECHE,61.73041666666668
TORTILLAS Y DERIVADOS DEL MAIZ,13.415000000000001
APARATOS ELECTRONICOS,4638.476190476191
LEGUMBRES SECAS,18.140833333333337
CAFE,37.43
MUEBLES DE COCINA,4247.5
CARNES FRIAS SECAS Y EMBUTIDOS,71.76962962962965
CHOCOLATES Y GOLOSINAS,20.258823529411767
PAN,10.203333333333333
CERVEZA,57.94714285714286
MEDICAMENTOS,205.03866666666667
CONDIMENTOS,28.776086956521734
REFRESCOS ENVASADOS,13.800454545454544
ACEITES Y GRASAS VEG. COMESTIBLES,28.268
PESCADOS Y MARISCOS,57.5
CARNE DE AVE,52.0
FRUTAS Y LEGUMBRES PROCESADAS,14.614687499999997
CARNE Y VISCERAS DE CERDO,39.266666666666666
ACCESORIOS DOMESTICOS,39.93333333333334
FRUTAS FRESCAS,18.03333333333333
ARROZ Y CEREALES PREPARADOS,26.845
APARATOS ELECTRICOS,1676.1214285714286
HUEVO,17.57
LECHE PROCESADA,24.515333333333334
AZUCAR,34.9
ARTS. DE PAPEL P/HIGIENE PERSONAL,48.8144
