f.destination_airport,a.airport,total_llegadas
ATL,Hartsfield-Jackson Atlanta International Airport,346904
ORD,Chicago O'Hare International Airport,285906
DFW,Dallas/Fort Worth International Airport,239582
DEN,Denver International Airport,196010
LAX,Los Angeles International Airport,194696
SFO,San Francisco International Airport,147966
PHX,Phoenix Sky Harbor International Airport,146812
IAH,George Bush Intercontinental Airport,146683
LAS,McCarran International Airport,133198
MSP,Minneapolis-Saint Paul International Airport,112128
